url,category_code,category_description,date_added,source,notes
http://amnesty.org.ru,HUMR,Human rights,2014-04-15,citizenlab,
http://artem.gayclub.ru,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://azadsoz.azeriblog.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://bakublog.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://beon.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blog.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogs.mail.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogseo.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://buddhism.org.ru,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://buro-perevodov14.jino-net.ru,TRNS,Translation,2014-04-15,citizenlab,
http://community.livejournal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://contracept.newlist.ru,XED,Sex education and family planning,2014-04-15,citizenlab,
http://deep21.sitecity.ru,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://derweze.net,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://dni.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://elhosting.ru,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://eurasia.org.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://free.newyork.ru,TRNS,Translation,2014-04-15,citizenlab,
http://gamsoft.ru,GMB,Gambling,2014-04-15,citizenlab,
http://gej.ru,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://haker.iphosting.ru,HACK,Hacking,2014-04-15,citizenlab,
http://hosting.rbc.ru,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://ilgarmammadov.livejournal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://itblogs.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://lingvoman.vinidiktov.ru,TRNS,Translation,2014-04-15,citizenlab,
http://livemy.info,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://love.mail.ru,DATE,Dating,2014-04-15,citizenlab,
http://mail.km.ru,EMAIL,Free email,2014-04-15,citizenlab,
http://mamadu.ru,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://meidan.narod.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mikhed.newmail.ru,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://nashi.nb-info.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://omen.ru,DATE,Dating,2014-04-15,citizenlab,
http://polithexogen.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://provokator-ua.narod.ru,PROV,Provocative attire,2014-04-15,citizenlab,
http://punto.ru,SRCH,Search engines,2014-04-15,citizenlab,
http://sapunov.livejournal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://securitylab.az,SFTWR,Software downloads,2014-04-15,citizenlab,
http://sexfilm.al.ru,PORN,Pornography,2014-04-15,citizenlab,
http://sexword.net.ru,PORN,Pornography,2014-04-15,citizenlab,
http://sms-date.ru,DATE,Dating,2014-04-15,citizenlab,
http://talyplar.com,GRP,Groups and social networking,2014-04-15,citizenlab,
